video_id,university_name,category,topic,search_query,title,description,channel_name,upload_date,upload_year,views,likes,comment_count,duration,language,video_url,relevance_score,relevance_label,clean_title,clean_description,combined_text,title_word_count,title_char_count,description_word_count,description_char_count,combined_word_count,combined_char_count,emoji_count,hashtag_count,mention_count,exclamation_count,question_count,engagement_rate,log_views,log_likes,log_comments,video_age_days
WkkzXvo_tbE,Delhi University,rankings,NIRF,Delhi University NIRF,Top 10 North Campus Colleges of Delhi University in 2024 🔥 | NIRF RANKING DU COLLEGES 💯,Top 10 North Campus Colleges of Delhi University in 2024 | NIRF RANKING DU COLLEGES #cuet #delhiuniversity #csas #nta ...,Raj Unfiltered ,2024-08-08T17:13:52Z,2024,336,0,2,PT58S,unknown,https://www.youtube.com/watch?v=WkkzXvo_tbE,36,Relevant,Top 10 North Campus Colleges of Delhi University in 2024 🔥 | NIRF RANKING DU COLLEGES 💯,Top 10 North Campus Colleges of Delhi University in 2024 | NIRF RANKING DU COLLEGES #cuet #delhiuniversity #csas #nta .,Top 10 North Campus Colleges of Delhi University in 2024 🔥 | NIRF RANKING DU COLLEGES 💯 Top 10 North Campus Colleges of Delhi University in 2024 | NIRF RANKING DU COLLEGES #cuet #delhiuniversity #csas #nta .,17,87,20,119,37,207,2,4,0,0,0,0.005952,5.820082930352362,0.0,1.0986122886681098,726
nd3Bdz4B5WU,Tezpur University,rankings,NIRF,Tezpur University NIRF,🔴NIRF Ranking| Gauhati/Tezpur University Rank  | Important for all Exam,NIRF Ranking| Gauhati/Tezpur University Rank | Important for all Exam National Institutional Ranking framework has been ...,Easy Class By Binoy Satnami,2024-08-14T00:00:07Z,2024,85,11,0,PT5M40S,unknown,https://www.youtube.com/watch?v=nd3Bdz4B5WU,36,Relevant,🔴NIRF Ranking| Gauhati/Tezpur University Rank | Important for all Exam,NIRF Ranking| Gauhati/Tezpur University Rank | Important for all Exam National Institutional Ranking framework has been .,🔴NIRF Ranking| Gauhati/Tezpur University Rank | Important for all Exam NIRF Ranking| Gauhati/Tezpur University Rank | Important for all Exam National Institutional Ranking framework has been .,10,70,17,121,27,192,1,0,0,0,0,0.129412,4.454347296253507,2.4849066497880004,0.0,720
Nw8vJerkdJY,SRM Institute of Science and Technology,rankings,NIRF,SRM Institute of Science and Technology NIRF,Srm Institute of Science and technology in Chennai|Nirf ranking 2025|Ratings|placement in tamil,Srm institute of science and technology Location Course offering Facilities placement ratings Ranking full details in tamil ...,MK Trending Education,2025-12-23T03:30:31Z,2025,17,0,0,PT4M3S,unknown,https://www.youtube.com/watch?v=Nw8vJerkdJY,34,Relevant,Srm Institute of Science and technology in Chennai|Nirf ranking 2025|Ratings|placement in tamil,Srm institute of science and technology Location Course offering Facilities placement ratings Ranking full details in tamil .,Srm Institute of Science and technology in Chennai|Nirf ranking 2025|Ratings|placement in tamil Srm institute of science and technology Location Course offering Facilities placement ratings Ranking full details in tamil .,12,95,18,125,30,221,0,0,0,0,0,0.0,2.8903717578961645,0.0,0.0,224
F-U1qeJTNTM,Jawaharlal Nehru University,rankings,NIRF,Jawaharlal Nehru University NIRF,#jnu Top Ranked University in India | Jawaharlal Nehru University | NIRF Ranking 2,Jawaharlal Nehru University Jawaharlal Nehru University | Top Ranked University in India | NIRF Ranking 2 #jnuuniversity Top ...,LearnEveryone,2023-11-22T06:53:12Z,2023,166,3,0,PT1M,unknown,https://www.youtube.com/watch?v=F-U1qeJTNTM,34,Relevant,#jnu Top Ranked University in India | Jawaharlal Nehru University | NIRF Ranking 2,Jawaharlal Nehru University Jawaharlal Nehru University | Top Ranked University in India | NIRF Ranking 2 #jnuuniversity Top .,#jnu Top Ranked University in India | Jawaharlal Nehru University | NIRF Ranking 2 Jawaharlal Nehru University Jawaharlal Nehru University | Top Ranked University in India | NIRF Ranking 2 #jnuuniversity Top .,14,82,19,126,33,209,0,2,0,0,0,0.018072,5.117993812416755,1.3862943611198906,0.0,986
-qc1_2RLRbA,Delhi University,rankings,NIRF,Delhi University NIRF,Top 10 Colleges of Delhi University | DU | Best Colleges | NIRF Ranking,Top Colleges of Delhi University | CUET - UG 2024 | NIRF Ranking JOIN OUR TELEGRAM CHANNEL: ...,Teach Me - CUET Exam,2024-04-19T11:55:11Z,2024,247,14,4,PT12M33S,unknown,https://www.youtube.com/watch?v=-qc1_2RLRbA,34,Relevant,Top 10 Colleges of Delhi University | DU | Best Colleges | NIRF Ranking,Top Colleges of Delhi University | CUET - UG 2024 | NIRF Ranking JOIN OUR TELEGRAM CHANNEL: .,Top 10 Colleges of Delhi University | DU | Best Colleges | NIRF Ranking Top Colleges of Delhi University | CUET - UG 2024 | NIRF Ranking JOIN OUR TELEGRAM CHANNEL: .,14,71,18,93,32,165,0,0,0,0,0,0.072874,5.5134287461649825,2.70805020110221,1.6094379124341003,837
7kHBNkbsNdk,Indian Institute of Management,rankings,NIRF,Indian Institute of Management NIRF,NIRF 2024 Ranking for the Indian Institute of Management&#39;s #like #share #subscribe,NIRF 2024 Ranking for the Indian Institute of Management's #like #share #subscribe #iim #mba.,allaboutgyaan,2024-09-07T14:30:07Z,2024,268,3,0,PT40S,unknown,https://www.youtube.com/watch?v=7kHBNkbsNdk,30,Relevant,NIRF 2024 Ranking for the Indian Institute of Management's #like #share #subscribe,NIRF 2024 Ranking for the Indian Institute of Management's #like #share #subscribe #iim #mba.,NIRF 2024 Ranking for the Indian Institute of Management's #like #share #subscribe NIRF 2024 Ranking for the Indian Institute of Management's #like #share #subscribe #iim #mba.,12,82,14,93,26,176,0,8,0,0,0,0.011194,5.594711379601839,1.3862943611198906,0.0,696
xYL_Bgb0kKM,Delhi University,rankings,NIRF,Delhi University NIRF,🧬 CUET 2026 |  Delhi University 2025 | Preference List कैसे बनाए | NIRF Ranking के According,CUET 2026 | Delhi University 2025 | Preference List कैसे बनाए | NIRF Ranking के According Whether you're just ...,CUET Kalam,2025-06-13T08:08:40Z,2025,49,6,1,PT17M41S,unknown,https://www.youtube.com/watch?v=xYL_Bgb0kKM,30,Relevant,🧬 CUET 2026 | Delhi University 2025 | Preference List कैसे बनाए | NIRF Ranking के According,CUET 2026 | Delhi University 2025 | Preference List कैसे बनाए | NIRF Ranking के According Whether you're just .,🧬 CUET 2026 | Delhi University 2025 | Preference List कैसे बनाए | NIRF Ranking के According CUET 2026 | Delhi University 2025 | Preference List कैसे बनाए | NIRF Ranking के According Whether you're just .,17,91,20,111,37,203,1,0,0,0,0,0.142857,3.912023005428146,1.9459101490553132,0.6931471805599453,417
SfLy8XbB1uk,Jamia Millia Islamia,rankings,NIRF,Jamia Millia Islamia NIRF,Top Ranked University in India | Jamia Millia Islamia | NIRF Ranking 3 #jamiamilliaislamia,Jamia Millia Islamia University Jamia Millia Islamia | Top Ranked University in India | NIRF Ranking 3 #jamiamilliaislamia Top ...,LearnEveryone,2023-11-24T05:20:15Z,2023,37,0,0,PT2M40S,unknown,https://www.youtube.com/watch?v=SfLy8XbB1uk,30,Relevant,Top Ranked University in India | Jamia Millia Islamia | NIRF Ranking 3 #jamiamilliaislamia,Jamia Millia Islamia University Jamia Millia Islamia | Top Ranked University in India | NIRF Ranking 3 #jamiamilliaislamia Top .,Top Ranked University in India | Jamia Millia Islamia | NIRF Ranking 3 #jamiamilliaislamia Jamia Millia Islamia University Jamia Millia Islamia | Top Ranked University in India | NIRF Ranking 3 #jamiamilliaislamia Top .,14,90,20,128,34,219,0,2,0,0,0,0.0,3.6375861597263857,0.0,0.0,984
NIJ3ZlM3aHo,Mysore University,rankings,NIRF,Mysore University NIRF,"BBA, B.COM, MBA in IT, SUPPLY CHAIN, HR | University of Mysore NIRF Ranking 54 Naac A grade","Online MBA in IT, SUPPLY CHAIN, HR, FINANCE | University of Mysore NIRF Ranking 54 Naac A grade Online university of ...",CareerBugs,2023-02-20T11:16:42Z,2023,25,0,0,PT11M24S,unknown,https://www.youtube.com/watch?v=NIJ3ZlM3aHo,30,Relevant,"BBA, B.COM, MBA in IT, SUPPLY CHAIN, HR | University of Mysore NIRF Ranking 54 Naac A grade","Online MBA in IT, SUPPLY CHAIN, HR, FINANCE | University of Mysore NIRF Ranking 54 Naac A grade Online university of .","BBA, B.COM, MBA in IT, SUPPLY CHAIN, HR | University of Mysore NIRF Ranking 54 Naac A grade Online MBA in IT, SUPPLY CHAIN, HR, FINANCE | University of Mysore NIRF Ranking 54 Naac A grade Online university of .",18,91,22,118,40,210,0,0,0,0,0,0.0,3.258096538021482,0.0,0.0,1261
gmc5otLeeK8,Banaras Hindu University,rankings,NIRF,Banaras Hindu University NIRF,Banaras Hindu University | Top Ranked University in India | NIRF Ranking 5 #banarashinduuniversity,Banaras Hindu University Banaras Hindu University | Top Ranked University in India | NIRF Ranking 5 #banarashinduuniversity ...,LearnEveryone,2023-11-22T07:03:50Z,2023,53,2,0,PT2M3S,unknown,https://www.youtube.com/watch?v=gmc5otLeeK8,30,Relevant,Banaras Hindu University | Top Ranked University in India | NIRF Ranking 5 #banarashinduuniversity,Banaras Hindu University Banaras Hindu University | Top Ranked University in India | NIRF Ranking 5 #banarashinduuniversity .,Banaras Hindu University | Top Ranked University in India | NIRF Ranking 5 #banarashinduuniversity Banaras Hindu University Banaras Hindu University | Top Ranked University in India | NIRF Ranking 5 #banarashinduuniversity .,14,98,18,125,32,224,0,2,0,0,0,0.037736,3.9889840465642745,1.0986122886681098,0.0,986
eS6cZl49Iec,VIT Vellore,rankings,NIRF,VIT Vellore NIRF,🔴Scam || NIRF Ranking 2023 Exposed 😤 || IS VIT Vellore better than IIT BHU ??#nirfranking2023,Scam || NIRF Ranking 2023 Exposed || IS VIT Vellore better than IIT BHU ??#nirfranking2023.,Akash Gupta [ NITP ],2023-06-06T04:30:09Z,2023,4233,0,26,PT57S,unknown,https://www.youtube.com/watch?v=eS6cZl49Iec,30,Relevant,🔴Scam || NIRF Ranking 2023 Exposed 😤 || IS VIT Vellore better than IIT BHU ?#nirfranking2023,Scam || NIRF Ranking 2023 Exposed || IS VIT Vellore better than IIT BHU ?#nirfranking2023.,🔴Scam || NIRF Ranking 2023 Exposed 😤 || IS VIT Vellore better than IIT BHU ?#nirfranking2023 Scam || NIRF Ranking 2023 Exposed || IS VIT Vellore better than IIT BHU ?#nirfranking2023.,16,92,15,90,31,183,2,2,0,0,2,0.006142,8.350902451694811,0.0,3.295836866004329,1155
cl2ng64bUI8,Jadavpur University,rankings,NIRF,Jadavpur University NIRF,#top10universityinindia Top Ranked University India | Jadavpur University | NIRF Ranking 10,Jadavpur University | Top Ranked University in India | NIRF Ranking 10 #jadavpuruniversity जादवपुर ...,LearnEveryone,2023-11-06T13:21:40Z,2023,106,2,0,PT1M,unknown,https://www.youtube.com/watch?v=cl2ng64bUI8,30,Relevant,#top10universityinindia Top Ranked University India | Jadavpur University | NIRF Ranking 10,Jadavpur University | Top Ranked University in India | NIRF Ranking 10 #jadavpuruniversity जादवपुर .,#top10universityinindia Top Ranked University India | Jadavpur University | NIRF Ranking 10 Jadavpur University | Top Ranked University in India | NIRF Ranking 10 #jadavpuruniversity जादवपुर .,12,91,15,100,27,192,0,2,0,0,0,0.018868,4.672828834461906,1.0986122886681098,0.0,1002
2uAiIaKvSJU,Osmania University,rankings,NIRF,Osmania University NIRF,NIRF Rankings 2025: Osmania University Ranking Improved | V6 News,NIRF Rankings 2025: Osmania University Ranking Improved | V6 News Watch Todays Teenmaar Full Episode ...,V6 News Telugu,2025-09-04T12:35:00Z,2025,1544,9,1,PT1M46S,unknown,https://www.youtube.com/watch?v=2uAiIaKvSJU,30,Relevant,NIRF Rankings 2025: Osmania University Ranking Improved | V6 News,NIRF Rankings 2025: Osmania University Ranking Improved | V6 News Watch Todays Teenmaar Full Episode .,NIRF Rankings 2025: Osmania University Ranking Improved | V6 News NIRF Rankings 2025: Osmania University Ranking Improved | V6 News Watch Todays Teenmaar Full Episode .,10,65,16,102,26,168,0,0,0,0,0,0.006477,7.3427791893318455,2.302585092994046,0.6931471805599453,334
-HQr0EhBY2w,Assam University,rankings,NIRF,Assam University NIRF,"Bengali desk - Assam University in the 101-150 rank band of NIRF, NIT Silchar ranked 40","Bengali desk - Assam University in the 101-150 rank band of NIRF, NIT Silchar ranked 40 #RRNews #reporterregnant ...",RR News ,2023-06-06T08:15:56Z,2023,27,0,0,PT1M30S,unknown,https://www.youtube.com/watch?v=-HQr0EhBY2w,30,Relevant,"Bengali desk - Assam University in the 101-150 rank band of NIRF, NIT Silchar ranked 40","Bengali desk - Assam University in the 101-150 rank band of NIRF, NIT Silchar ranked 40 #RRNews #reporterregnant .","Bengali desk - Assam University in the 101-150 rank band of NIRF, NIT Silchar ranked 40 Bengali desk - Assam University in the 101-150 rank band of NIRF, NIT Silchar ranked 40 #RRNews #reporterregnant .",16,87,19,114,35,202,0,2,0,0,0,0.0,3.332204510175204,0.0,0.0,1155
5JUyOWxh5Kk,Jadavpur University,rankings,NIRF,Jadavpur University NIRF,Jadavpur University | 3000rs/Year Fees🤯 | 1.8 CPA Highest Placements | WBJEE Exam | NIRF Ranking,Jadavpur University | 3000rs/Year Fees   | 1.8 CPA Highest Placements | WBJEE Exam | NIRF Ranking ...,CAREERKICK JEE,2023-03-22T09:07:22Z,2023,21334,836,17,PT34S,unknown,https://www.youtube.com/watch?v=5JUyOWxh5Kk,30,Relevant,Jadavpur University | 3000rs/Year Fees🤯 | 1.8 CPA Highest Placements | WBJEE Exam | NIRF Ranking,Jadavpur University | 3000rs/Year Fees | 1.8 CPA Highest Placements | WBJEE Exam | NIRF Ranking .,Jadavpur University | 3000rs/Year Fees🤯 | 1.8 CPA Highest Placements | WBJEE Exam | NIRF Ranking Jadavpur University | 3000rs/Year Fees | 1.8 CPA Highest Placements | WBJEE Exam | NIRF Ranking .,16,96,17,97,33,194,1,0,0,0,0,0.039983,9.9681041956221,6.729824070489475,2.8903717578961645,1231
eVnejXICrNY,Ranchi University,rankings,NIRF,Ranchi University NIRF,ranchi university review addmission process available course NiRF ranking placement.,ranchi university review addmission process available course NiRF ranking placement. join WhatsApp group- ...,Helpers CUET preparation,2023-03-21T14:38:08Z,2023,163,3,8,PT5M9S,unknown,https://www.youtube.com/watch?v=eVnejXICrNY,30,Relevant,ranchi university review addmission process available course NiRF ranking placement.,ranchi university review addmission process available course NiRF ranking placement. join WhatsApp group- .,ranchi university review addmission process available course NiRF ranking placement. ranchi university review addmission process available course NiRF ranking placement. join WhatsApp group- .,10,84,14,107,24,192,0,0,0,0,0,0.067485,5.099866427824199,1.3862943611198906,2.1972245773362196,1232
2z4a3RjSbIM,Jadavpur University,rankings,NIRF,Jadavpur University NIRF,Jadavpur University | Top Ranked University in India | NIRF Ranking 10 #jadavpuruniversity,Jadavpur University | Top Ranked University in India | NIRF Ranking 10 #jadavpuruniversity जादवपुर ...,LearnEveryone,2023-11-05T11:13:44Z,2023,45,0,0,PT1M48S,unknown,https://www.youtube.com/watch?v=2z4a3RjSbIM,30,Relevant,Jadavpur University | Top Ranked University in India | NIRF Ranking 10 #jadavpuruniversity,Jadavpur University | Top Ranked University in India | NIRF Ranking 10 #jadavpuruniversity जादवपुर .,Jadavpur University | Top Ranked University in India | NIRF Ranking 10 #jadavpuruniversity Jadavpur University | Top Ranked University in India | NIRF Ranking 10 #jadavpuruniversity जादवपुर .,13,90,15,100,28,191,0,2,0,0,0,0.0,3.828641396489095,0.0,0.0,1003
WwrY_wpZAc0,Jawaharlal Nehru University,rankings,NIRF,Jawaharlal Nehru University NIRF,Jawaharlal Nehru University | Top Ranked University in India | NIRF Ranking 2 #jnuuniversity,Jawaharlal Nehru University Jawaharlal Nehru University | Top Ranked University in India | NIRF Ranking 2 #jnuuniversity Top ...,LearnEveryone,2023-11-22T07:03:49Z,2023,28,2,0,PT1M56S,unknown,https://www.youtube.com/watch?v=WwrY_wpZAc0,30,Relevant,Jawaharlal Nehru University | Top Ranked University in India | NIRF Ranking 2 #jnuuniversity,Jawaharlal Nehru University Jawaharlal Nehru University | Top Ranked University in India | NIRF Ranking 2 #jnuuniversity Top .,Jawaharlal Nehru University | Top Ranked University in India | NIRF Ranking 2 #jnuuniversity Jawaharlal Nehru University Jawaharlal Nehru University | Top Ranked University in India | NIRF Ranking 2 #jnuuniversity Top .,14,92,19,126,33,219,0,2,0,0,0,0.071429,3.367295829986474,1.0986122886681098,0.0,986
Ha5RI4MGe7U,Jamia Millia Islamia,rankings,NIRF,Jamia Millia Islamia NIRF,#JMI Top Ranked University in India | Jamia Millia Islamia | NIRF Ranking 3,Jamia Millia Islamia University Jamia Millia Islamia | Top Ranked University in India | NIRF Ranking 3 #jamiamilliaislamia Top ...,LearnEveryone,2023-11-24T05:20:44Z,2023,87,2,0,PT1M,unknown,https://www.youtube.com/watch?v=Ha5RI4MGe7U,30,Relevant,#JMI Top Ranked University in India | Jamia Millia Islamia | NIRF Ranking 3,Jamia Millia Islamia University Jamia Millia Islamia | Top Ranked University in India | NIRF Ranking 3 #jamiamilliaislamia Top .,#JMI Top Ranked University in India | Jamia Millia Islamia | NIRF Ranking 3 Jamia Millia Islamia University Jamia Millia Islamia | Top Ranked University in India | NIRF Ranking 3 #jamiamilliaislamia Top .,14,75,20,128,34,204,0,2,0,0,0,0.022989,4.477336814478207,1.0986122886681098,0.0,984
Vj3lg_vxpxo,Andhra University,rankings,NIRF,Andhra University NIRF,Top 10 Engineering Colleges in Andhra Pradesh | AP Engineering Colleges | NIRF Ranking | NAAC Grade,Top 10 Engineering Colleges in Andhra Pradesh | AP Engineering Colleges | NIRF Ranking | NAAC Grade Edu9 हिंदी ...,Edu9 हिंदी,2025-01-12T05:30:11Z,2025,75,2,0,PT3M56S,unknown,https://www.youtube.com/watch?v=Vj3lg_vxpxo,29,Relevant,Top 10 Engineering Colleges in Andhra Pradesh | AP Engineering Colleges | NIRF Ranking | NAAC Grade,Top 10 Engineering Colleges in Andhra Pradesh | AP Engineering Colleges | NIRF Ranking | NAAC Grade Edu9 हिंदी .,Top 10 Engineering Colleges in Andhra Pradesh | AP Engineering Colleges | NIRF Ranking | NAAC Grade Top 10 Engineering Colleges in Andhra Pradesh | AP Engineering Colleges | NIRF Ranking | NAAC Grade Edu9 हिंदी .,17,99,20,112,37,212,0,0,0,0,0,0.026667,4.330733340286331,1.0986122886681098,0.0,569
VUbuh_WZ8LM,University of Hyderabad,rankings,NIRF,University of Hyderabad NIRF,University Of Hyderabad Review | Top Engineering College in Telangana as per NIRF Ranking #shorts,University of Hyderabad stood as 2nd Top engineering college in Telangana as per NIRF Rankings 2025 One of the top ...,Student Hub Telugu,2026-06-07T08:02:42Z,2026,963,3,0,PT13S,unknown,https://www.youtube.com/watch?v=VUbuh_WZ8LM,28,Relevant,University Of Hyderabad Review | Top Engineering College in Telangana as per NIRF Ranking #shorts,University of Hyderabad stood as 2nd Top engineering college in Telangana as per NIRF Rankings 2025 One of the top .,University Of Hyderabad Review | Top Engineering College in Telangana as per NIRF Ranking #shorts University of Hyderabad stood as 2nd Top engineering college in Telangana as per NIRF Rankings 2025 One of the top .,15,97,21,116,36,214,0,1,0,0,0,0.003115,6.871091294610546,1.3862943611198906,0.0,58
gFpEH_FEUoA,Delhi University,rankings,NIRF,Delhi University NIRF,🎓🔥 DU Ranking List 2025 | Top Delhi University Colleges Revealed! #DURanking2025  @ritikagogia5621,DU Ranking List 2025 | Top Delhi University Colleges Revealed! #DURanking2025 @ritikagogia5621 Delhi University (DU) is ...,Ritika  gogia,2025-09-07T15:55:54Z,2025,226,7,0,PT7S,unknown,https://www.youtube.com/watch?v=gFpEH_FEUoA,28,Relevant,🎓🔥 DU Ranking List 2025 | Top Delhi University Colleges Revealed! #DURanking2025 @ritikagogia5621,DU Ranking List 2025 | Top Delhi University Colleges Revealed! #DURanking2025 @ritikagogia5621 Delhi University (DU) is .,🎓🔥 DU Ranking List 2025 | Top Delhi University Colleges Revealed! #DURanking2025 @ritikagogia5621 DU Ranking List 2025 | Top Delhi University Colleges Revealed! #DURanking2025 @ritikagogia5621 Delhi University (DU) is .,13,97,17,121,30,219,1,2,2,2,0,0.030973,5.424950017481403,2.0794415416798357,0.0,331
iaqd6jcW6QM,Assam University,rankings,NIRF,Assam University NIRF,"Assam University, Silchar bagged the 97th position in NIRF ranking",Assam University (A Central University) Silchar bagged the 97th position in National Institutional Ranking Framework (NIRF) ...,AIR News Silchar,2025-09-04T16:18:33Z,2025,83,3,0,PT3M10S,unknown,https://www.youtube.com/watch?v=iaqd6jcW6QM,28,Relevant,"Assam University, Silchar bagged the 97th position in NIRF ranking",Assam University (A Central University) Silchar bagged the 97th position in National Institutional Ranking Framework (NIRF) .,"Assam University, Silchar bagged the 97th position in NIRF ranking Assam University (A Central University) Silchar bagged the 97th position in National Institutional Ranking Framework (NIRF) .",10,66,17,125,27,192,0,0,0,0,0,0.036145,4.430816798843313,1.3862943611198906,0.0,334
kgaz-W6ZnHw,VIT Vellore,rankings,NIRF,VIT Vellore NIRF,#VIT Vellore Institute of Technology | NIRF Ranking 11 | Top Ranked Institute in India,Vellore Institute of Technology | Top Ranked Institute in India | NIRF Ranking 11 #vitvellore Top Ranked Institute in India | Vellore ...,LearnEveryone,2023-11-10T14:27:22Z,2023,286,8,0,PT1M,unknown,https://www.youtube.com/watch?v=kgaz-W6ZnHw,27,Relevant,#VIT Vellore Institute of Technology | NIRF Ranking 11 | Top Ranked Institute in India,Vellore Institute of Technology | Top Ranked Institute in India | NIRF Ranking 11 #vitvellore Top Ranked Institute in India | Vellore .,#VIT Vellore Institute of Technology | NIRF Ranking 11 | Top Ranked Institute in India Vellore Institute of Technology | Top Ranked Institute in India | NIRF Ranking 11 #vitvellore Top Ranked Institute in India | Vellore .,15,86,23,135,38,222,0,2,0,0,0,0.027972,5.659482215759621,2.1972245773362196,0.0,998
cKon-PCTj2M,Jadavpur University,rankings,NIRF,Jadavpur University NIRF,NIRF RANKING 2025::😱 Jadavpur University Rank 1 in State Public University #jadavpuruniversity,bongstudyhub #wbjee2026 #wbjee2025 #teachersday #jadavpuruniversity Download Our App Now: ...,Bong Study Hub,2025-09-05T08:02:20Z,2025,4122,207,15,PT59S,unknown,https://www.youtube.com/watch?v=cKon-PCTj2M,27,Relevant,NIRF RANKING 2025::😱 Jadavpur University Rank 1 in State Public University #jadavpuruniversity,bongstudyhub #wbjee2026 #wbjee2025 #teachersday #jadavpuruniversity Download Our App Now: .,NIRF RANKING 2025::😱 Jadavpur University Rank 1 in State Public University #jadavpuruniversity bongstudyhub #wbjee2026 #wbjee2025 #teachersday #jadavpuruniversity Download Our App Now: .,12,94,10,91,22,186,1,5,0,0,0,0.053857,8.3243363327069,5.337538079701318,2.772588722239781,333
eDWDIK2Kkk8,Osmania University,rankings,NIRF,Osmania University NIRF,దిగజారిన ఓయూ ర్యాంక్ | Osmania University Rank Latest | NIRF Ranking 2023 | ManaTolivelugu,manatolivelugu #manatolivelugulatestnews #telangananews #JournalistRaghu దిగజారిన ఓయూ ర్యాంక్ ...,Mana ToliVelugu Tv,2023-06-06T05:45:01Z,2023,1961,53,7,PT2M47S,unknown,https://www.youtube.com/watch?v=eDWDIK2Kkk8,27,Relevant,దిగజారిన ఓయూ ర్యాంక్ | Osmania University Rank Latest | NIRF Ranking 2023 | ManaTolivelugu,manatolivelugu #manatolivelugulatestnews #telangananews #JournalistRaghu దిగజారిన ఓయూ ర్యాంక్ .,దిగజారిన ఓయూ ర్యాంక్ | Osmania University Rank Latest | NIRF Ranking 2023 | ManaTolivelugu manatolivelugu #manatolivelugulatestnews #telangananews #JournalistRaghu దిగజారిన ఓయూ ర్యాంక్ .,14,90,8,95,22,186,0,3,0,0,0,0.030597,7.581719640125308,3.9889840465642745,2.0794415416798357,1155
Uat4W4HivpA,Aligarh Muslim University,rankings,NIRF,Aligarh Muslim University NIRF,"Aligarh Muslim University Complete Guide 2025: Review, Ranking, Fees &amp; Admission Explained","Here's everything you need to know about Aligarh Muslim University, Establishment year: 1920, NIRF Ranking 2024: 10 ...",shiksha.com,2025-09-23T07:30:14Z,2025,1723,7,1,PT37S,unknown,https://www.youtube.com/watch?v=Uat4W4HivpA,26,Relevant,"Aligarh Muslim University Complete Guide 2025: Review, Ranking, Fees & Admission Explained","Here's everything you need to know about Aligarh Muslim University, Establishment year: 1920, NIRF Ranking 2024: 10 .","Aligarh Muslim University Complete Guide 2025: Review, Ranking, Fees & Admission Explained Here's everything you need to know about Aligarh Muslim University, Establishment year: 1920, NIRF Ranking 2024: 10 .",12,90,18,117,30,208,0,0,0,0,0,0.004643,7.452402451223638,2.0794415416798357,0.6931471805599453,315
t4iuuKT3wqM,Jawaharlal Nehru University,rankings,NIRF,Jawaharlal Nehru University NIRF,"Jawaharlal Nehru University Complete Guide 2025: Review, Ranking, Fees &amp; Admission Explained","Here's everything you need to know about Jawaharlal Nehru University, Establishment year: 1969, NIRF Ranking 2024: 2 ...",shiksha.com,2025-06-28T10:30:27Z,2025,1317,21,8,PT1M17S,unknown,https://www.youtube.com/watch?v=t4iuuKT3wqM,26,Relevant,"Jawaharlal Nehru University Complete Guide 2025: Review, Ranking, Fees & Admission Explained","Here's everything you need to know about Jawaharlal Nehru University, Establishment year: 1969, NIRF Ranking 2024: 2 .","Jawaharlal Nehru University Complete Guide 2025: Review, Ranking, Fees & Admission Explained Here's everything you need to know about Jawaharlal Nehru University, Establishment year: 1969, NIRF Ranking 2024: 2 .",12,92,18,118,30,211,0,0,0,0,0,0.02202,7.183870715062453,3.091042453358316,2.1972245773362196,402
ZQ2aS7JXCGM,Savitribai Phule Pune University,rankings,NIRF,Savitribai Phule Pune University NIRF,"Savitribai Phule Pune University Complete Guide 2025: Review, Ranking, Fees &amp; Admission Explained","Here's everything you need to know about Savitribai Phule Pune University, Establishment year: 1949, NIRF Ranking 2024: 23 ...",shiksha.com,2025-07-12T06:00:26Z,2025,11966,123,17,PT1M28S,unknown,https://www.youtube.com/watch?v=ZQ2aS7JXCGM,26,Relevant,"Savitribai Phule Pune University Complete Guide 2025: Review, Ranking, Fees & Admission Explained","Here's everything you need to know about Savitribai Phule Pune University, Establishment year: 1949, NIRF Ranking 2024: 23 .","Savitribai Phule Pune University Complete Guide 2025: Review, Ranking, Fees & Admission Explained Here's everything you need to know about Savitribai Phule Pune University, Establishment year: 1949, NIRF Ranking 2024: 23 .",13,97,19,124,32,222,0,0,0,0,0,0.0117,9.389908140573516,4.820281565605037,2.8903717578961645,388
OhUKyMVQwh0,Tezpur University,rankings,NIRF,Tezpur University NIRF,"Tezpur University Complete Guide 2025: Review, Ranking, Fees &amp; Admission Explained!",Here's everything you need to know about Tezpur University Establishment year: 1994 NIRF Ranking 2024: 69 (University) ...,shiksha.com,2025-08-04T09:14:08Z,2025,2503,27,0,PT1M28S,unknown,https://www.youtube.com/watch?v=OhUKyMVQwh0,26,Relevant,"Tezpur University Complete Guide 2025: Review, Ranking, Fees & Admission Explained!",Here's everything you need to know about Tezpur University Establishment year: 1994 NIRF Ranking 2024: 69 (University) .,"Tezpur University Complete Guide 2025: Review, Ranking, Fees & Admission Explained! Here's everything you need to know about Tezpur University Establishment year: 1994 NIRF Ranking 2024: 69 (University) .",11,83,18,120,29,204,0,0,0,1,0,0.010787,7.825644732219989,3.332204510175204,0.0,365
